complaint_id,category,priority,reason,flag
AM-202401,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202402,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202405,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202406,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202407,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202410,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202414,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202417,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202421,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202424,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202429,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202431,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202435,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202444,Other,Low,Row processing failed,NEEDS_REVIEW
AM-202445,Other,Low,Row processing failed,NEEDS_REVIEW
